Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2020-09-01","Poland","POL","616","Europe","150","Eastern Europe","151","63049300","Other Furnishing Articles Of Synthetic Fibres,Not Knitted Or Crocheted","Nos","1.1","2.42","0.0"
"2020-07-01","Italy","ITA","380","Europe","150","Southern Europe","39","73259920","Othr Cast Artcls Of Alloy Steel Malleable","Kgs","149.33","550.07","0.73"
"2020-12-01","France","FRA","250","Europe","150","Western Europe","155","48219090","Others","Kgs","0.17","1.12","0.0"
"2021-10-01","Germany","DEU","276","Europe","150","Western Europe","155","42022110","Handbags Of Leather For Ladies","Nos","53.23","931.76","1.24"
"2021-04-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","87149290","Others","Nos","0.09","0.07",""
"2024-08-01","Slovakia","SVK","703","Europe","150","Eastern Europe","151","84099949","Other Parts Of Diesel/Semi Diesel Engines","Kgs","7.0","0.0","0.0"
"2016-04-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","29171990","Othr Acylc Plycrboxylc Acds And Thr Drvtvs","Kgs","0.2","2.65","0.0"
"2021-11-01","Belgium","BEL","56","Europe","150","Western Europe","155","39094090","Phenolic Resins Nes","Kgs","0.01","0.0",""
"2020-08-01","Belgium","BEL","56","Europe","150","Western Europe","155","71022110","Sorted Industrial Diamonds","Ctm","6.0","3.85","0.01"
"2019-09-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","83062190","Other Ornmnt Plted With Prcs Metal","Kgs","1.92","13.03","0.02"
"2020-03-01","Italy","ITA","380","Europe","150","Southern Europe","39","84714900","Othr Digitl Automatc Dataprocesng Machine Presented In The Form Of System","Nos","0.01","0.53","0.0"
