Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2022-06-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","40012200","Technically Spcfd Natrl Rubr(Tsnr)","Kgs","40.32","52.22","0.07"
"2019-11-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","40094200","Tubes,Pipes,Andhoses Of Vulcnsd Rubr Reinforced Otherwse Combined With Other Matarials With Fittings","Kgs","0.02","0.43","0.0"
"2016-02-01","Ethiopia","ETH","231","Africa","2","Sub-Saharan Africa","202","12079930","Niger Seed W/N Broken","Kgs","231.0","163.49","0.24"
"2023-03-01","Morocco","MAR","504","Africa","2","Northern Africa","15","85443000","Igntn Wiring Sets And Othr Wiring Sets Of A Kind Used In Vehicles Aircraft/Ships","Mtr","11.09","16.45","0.02"
"2018-02-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","85389000","Other Parts Of Hdg 8538","Kgs","0.08","3.99","0.01"
"2016-10-01","Eswatini","SWZ","748","Africa","2","Sub-Saharan Africa","202","84135090","Others","Nos","0.0","0.36","0.0"
"2024-10-01","Seychelles","SYC","690","Africa","2","Sub-Saharan Africa","202","73182300","Rivets,Non-Threaded","Kgs","20.0","0.01","0.0"
"2022-11-01","Sudan","SDN","729","Africa","2","Northern Africa","15","26070000","Lead Ores And Concentrates","Kgs","90.34","44.3","0.05"
"2025-05-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","84841090","Other Gskts And Smlr Joints","Kgs","156.0","0.06","0.01"
"2018-05-01","Mauritius","MUS","480","Africa","2","Sub-Saharan Africa","202","48211090","Othr Prntd Paper Or Paperboard","Kgs","0.1","1.21","0.0"
"2021-10-01","Mozambique","MOZ","508","Africa","2","Sub-Saharan Africa","202","27011910","Coking Coal","Kgs","216937.52","38163.24","50.94"
"2022-09-01","Egypt","EGY","818","Africa","2","Northern Africa","15","38249100","Mixtures And Preparations Consisting Mainly Of Methyl Methyl Methylphosphonate And Methylphosphonate:","Kgs","20.0","59.53","0.07"
"2021-05-01","Morocco","MAR","504","Africa","2","Northern Africa","15","60041000","Knitd Or Crocheted Fbrcs Of Width>30Cm Contng Elastomeric Yarn>=5% By Wt But Not Ruber Thread","Kgs","0.16","10.61","0.01"
"2016-04-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","85437099","Others","Nos","0.0","1.01","0.0"
"2015-03-01","Sierra Leone","SLE","694","Africa","2","Sub-Saharan Africa","202","85481020","*Battery Waste Isri Codes- Rains, Rink, Ronoropar, Vaunt","Kgs","108.0","71.37","0.11"
"2021-11-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","85389000","Other Parts Of Hdg 8538","Kgs","1.15","57.42","0.08"
"2023-09-01","Somalia","SOM","706","Africa","2","Sub-Saharan Africa","202","13019032","Oilbanum Or Frankincense","Kgs","25.0","168.84","0.2"
"2022-01-01","Benin","BEN","204","Africa","2","Sub-Saharan Africa","202","12079990","Other Oil Seeds And Oleginous Fruits W/N Broken","Kgs","416.27","146.73","0.2"
"2023-11-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","71081200","Other Non-Monetary Unwrought Forms Of Gold","Kgs","5.66","299663.79","359.75"
"2018-03-01","Senegal","SEN","686","Africa","2","Sub-Saharan Africa","202","76020010","Aluminium Scrap Coverd By Isri Code Tablettabloid,Taboo,Taint/Tabor,Take, Talap, Talcred,Taldack,Taldon,Ta","Kgs","722.0","844.09","1.3"
"2024-10-01","Lesotho","LSO","426","Africa","2","Sub-Saharan Africa","202","72044900","Other Waste And Scrap","Kgs","154540.0","0.45","0.05"
"2025-04-01","Angola","AGO","24","Africa","2","Sub-Saharan Africa","202","25062090","Othrs Crude/Roughly Trimmd Quartzite","Kgs","49400.0","0.24","0.03"
"2024-09-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","20093900","Other Singlecitrus Fruit Juice Value>20","Kgs","36.39","36.6","0.04"
